代码     名称        一级行业    三级        次数  最大权重   PE     PB    市值(亿)    
300841 康华生物      医药生物    生物制品      2   3.01   26.53  1.72  60       
001337 四川黄金      有色金属    贵金属       2   2.8    26.5   8.9   168      
688111 金山办公      计算机     软件开发      2   2.8    34.47  8.54  1251     
601869 长飞光纤      通信      通信设备      2   2.79   194.25 15.79 2248     
600989 宝丰能源      基础化工    化学原料      2   2.67   13.58  3.48  1708     
601958 金钼股份      有色金属    小金属       2   2.65   19.28  3.27  677      
688127 蓝特光学      电子      光学光电子     2   2.65   50.9   10.87 241      
000937 冀中能源      煤炭      煤炭开采      2   2.57   45.48  0.97  184      
002648 卫星化学      基础化工    化学原料      2   2.54   14.6   2.53  855      
000612 焦作万方      有色金属    工业金属      2   2.5    9.31   1.81  132      
300373 扬杰科技      电子      半导体       2   2.45   33.27  4.73  456      
002039 黔源电力      公用事业    电力        2   2.38   13.51  1.97  86       
300957 贝泰妮       美容护理    化妆品       2   2.37   26.97  2.4   147      
301345 涛涛车业      汽车      摩托车及其他    2   2.25   30.44  7.63  276      
000783 长江证券      非银金融    证券Ⅱ       2   2.22   11.32  1.35  476      
000538 云南白药      医药生物    中药Ⅱ       2   2.14   17.94  2.4   943      
000026 飞亚达       纺织服饰    饰品        2   2.1    62.03  1.98  66       
600428 中远海特      交通运输    航运港口      2   2.03   16.86  1.91  310      
600323 瀚蓝环境      公用事业    环境治理      2   1.91   11.42  1.66  252      
002832 比音勒芬      纺织服饰    服装家纺      2   1.9    24.5   2.78  148      
603128 华贸物流      交通运输    物流        2   1.84   15.16  1.17  70       
603288 海天味业      食品饮料    调味发酵品Ⅱ    2   1.84   30.9   6.02  2249     
600710 苏美达       商贸零售    贸易Ⅱ       2   1.78   10.41  1.73  146      
002032 苏泊尔       家用电器    小家电       2   1.69   17.22  6.91  349      
000928 中钢国际      建筑      专业工程      2   1.66   17.12  0.9   75       
300558 贝达药业      医药生物    化学制药      2   1.66   54.84  3.59  242      
603699 纽威股份      机械设备    通用设备      2   1.57   20.99  8.41  353      
600916 中国黄金      纺织服饰    饰品        2   1.55   42.52  1.84  130      
001872 招商港口      交通运输    航运港口      2   1.54   11.81  0.86  550      
600508 上海能源      煤炭      煤炭开采      2   1.54   45.68  0.69  87       
601336 新华保险      非银金融    保险Ⅱ       2   1.5    5.34   1.59  1970     
002901 大博医疗      医药生物    医疗器械      2   1.45   27.81  5.14  179      
600008 首创环保      公用事业    环境治理      2   1.39   12.01  1.05  217      
600970 中材国际      建筑      专业工程      2   1.38   7.87   0.94  209      
600332 白云山       医药生物    中药Ⅱ       2   1.38   12.3   0.93  362      
000858 五 粮 液     食品饮料    白酒Ⅱ       2   1.37   24.03  2.57  3028     
603589 口子窖       食品饮料    白酒Ⅱ       2   1.36   31.83  1.19  125      
603893 瑞芯微       电子      半导体       2   1.34   68.57  16.45 795      
600968 海油发展      石油石化    油服工程      2   1.28   10.09  1.38  396      
002508 老板电器      家用电器    厨卫电器      2   1.28   12.32  1.33  151      
600018 上港集团      交通运输    航运港口      2   1.26   9.01   0.87  1232     
000830 鲁西化工      基础化工    化学原料      2   1.24   25.83  1.27  241      
300146 汤臣倍健      食品饮料    食品加工      2   1.23   24.22  1.64  177      
601921 浙版传媒      传媒      出版        2   1.19   12.98  1.16  163      
601390 中国中铁      建筑      基础建设      2   1.16   5.33   0.35  1131     
300573 兴齐眼药      医药生物    化学制药      2   1.15   20.07  7.83  152      
002690 美亚光电      机械设备    专用设备      2   1.11   19.22  5.8   140      
600048 保利发展      房地产     房地产开发     2   1.1    251.07 0.32  632      
600377 宁沪高速      交通运输    铁路公路      2   1.08   12.92  1.5   614      
002507 涪陵榨菜      食品饮料    调味发酵品Ⅱ    2   1.07   18.31  1.6   141      
688025 杰普特       机械设备    自动化设备     2   1.04   77.62  11.39 264      
601800 中国交建      建筑      基础建设      2   1.01   7.67   0.35  1026     
600690 海尔智家      家用电器    白色家电      2   1.0    11.62  1.74  2175     
300693 盛弘股份      电力设备    其他电源设备Ⅱ   2   1.0    21.77  5.07  106      
600642 申能股份      公用事业    电力        2   0.99   11.04  1.17  418      
001227 兰州银行      银行      银行Ⅱ       2   0.98   6.85   0.41  126      
002557 洽洽食品      食品饮料    休闲食品      2   0.98   25.24  2.08  103      
600998 九州通       医药生物    医药商业      2   0.96   12.87  0.98  260      
000521 长虹美菱      家用电器    白色家电      2   0.94   17.15  0.87  51       
600572 康恩贝       医药生物    中药Ⅱ       2   0.9    22.79  1.6   110      
000987 越秀资本      非银金融    多元金融      2   0.9    9.48   1.21  394      
601298 青岛港       交通运输    航运港口      2   0.89   11.19  1.25  587      
603368 柳药集团      医药生物    医药商业      2   0.89   9.54   0.81  63       
603658 安图生物      医药生物    医疗器械      2   0.87   18.29  2.25  189      
600027 华电国际      公用事业    电力        2   0.86   9.51   1.15  559      
600600 青岛啤酒      食品饮料    非白酒       2   0.85   16.33  2.61  764      
002332 仙琚制药      医药生物    化学制药      2   0.84   21.22  1.44  85       
000625 长安汽车      汽车      乘用车       2   0.82   25.39  1.03  780      
002061 浙江交科      建筑      基础建设      2   0.81   9.93   0.61  95       
600050 中国联通      通信      通信服务      2   0.76   16.11  0.82  1394     
603317 天味食品      食品饮料    调味发酵品Ⅱ    2   0.75   21.61  3.87  161      
000589 贵州轮胎      汽车      汽车零部件     2   0.7    9.25   0.75  68       
600559 老白干酒      食品饮料    白酒Ⅱ       2   0.69   25.93  2.17  115      
300832 新产业       医药生物    医疗器械      2   0.67   23.15  4.4   376      
002916 深南电路      电子      元件        2   0.67   57.72  12.75 2098     
001286 陕西能源      公用事业    电力        2   0.65   12.29  1.51  393      
600351 亚宝药业      医药生物    中药Ⅱ       2   0.65   13.85  1.59  45       
600483 福能股份      公用事业    电力        2   0.62   10.58  1.12  302      
600908 无锡银行      银行      银行Ⅱ       2   0.62   5.33   0.54  124      
